Data,Unidade Origem,Unidade Destino,Documento,Produto (Saída),Produto (Entrada),Espécie,Valor Saída (R$),Valor Entrada (R$),Diferença (R$),Qtd Saída,Qtd Entrada,Diferença Qtd,Status,Tipo de Divergência,Qualidade Match,Observações,Detalhes Produto
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,CURATIVO TEGADERM FILME 6X7CM (PUNCAO PERIFERICA),-,MATERIAIS HOSPITALARES,76.77,,,50.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087650,ABSORVENTE GERIATRICO,ABSORVENTE GERIATRICO,MATERIAIS HOSPITALARES,20.86,20.86,0.0,40.0,40.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5087650, Qtd:40.0)",Quantidade exata
2025-12-07,CASA DE PORTUGAL,HOSPITAL CASA SAO BERNARDO - REDE CASA,9392101,LUVA PROCEDIMENTOS M,LUVA PROCEDIMENTOS M (*.*),MATERIAIS HOSPITALARES,345.7,340.0,5.7,2000.0,2000.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392101, Qtd:2000.0)",Quantidade exata
2025-12-07,HOSPITAL CASA EVANGELICO,CASA DE PORTUGAL - REDE CASA,5086336,"SULBACTAM+AMPICILINA 1,5G (UNASYN) - FA",-,MEDICAMENTOS HOSPITALARES,232.05,,,40.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087632,"CLORETO DE SODIO 0,9% 10ML",-,MEDICAMENTOS HOSPITALARES,33.72,,,200.0,,,❌ Não Conforme,Documento 5087632 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,LOSARTANA POTASSICA COMP 25MG (COZAAR),-,MEDICAMENTOS HOSPITALARES,1.76,,,3.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,CASA DE PORTUGAL,HOSPITAL EVANGELICO - REDE CASA,9392113,MASCARA DESCARTAVEL COM ELASTICO,MASCARA DESCARTAVEL COM ELASTICO,MATERIAIS HOSPITALARES,30.15,30.15,0.0,200.0,200.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:9392113, Qtd:200.0)",Quantidade exata
2025-12-07,HOSPITAL DE CANCER,CASA DE PORTUGAL - REDE CASA,5086623,LEVOFLOXACINO 500MG BOLSA 100ML (LEVAQUIN),-,MEDICAMENTOS HOSPITALARES,24.26,,,3.0,,,❌ Não Conforme,Item não encontrado (Casa Portugal),-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5087610,"CLORETO DE SODIO 0,9% 500ML - FR",-,MEDICAMENTOS HOSPITALARES,85.94,,,20.0,,,❌ Não Conforme,Documento 5087610 não encontrado na entrada,-,Sem correspondência encontrada,-
2025-12-07,HOSPITAL CASA RIO LARANJEIRAS,HOSPITAL CASA RIO BOTAFOGO - REDE CASA,5086131,ABSORVENTE GERIATRICO,ABSORVENTE GERIATRICO,MATERIAIS HOSPITALARES,18.78,18.78,0.0,36.0,36.0,0.0,✅ Conforme,-,⭐⭐⭐ Excelente,"Score:100% | Match exato (Doc:5086131, Qtd:36.0)",Quantidade exata
